YYYYMM,Value,Description
198705,112.257,Karnataka
198706,126.2,Karnataka
198707,140.582,Karnataka
198708,139.268,Karnataka
198709,117.773,Karnataka
198710,113.515,Karnataka
198711,111.217,Karnataka
198712,124.314,Karnataka
198713,1426.753,Karnataka
198801,133.468,Karnataka
198802,120.783,Karnataka
198803,115.584,Karnataka
198804,106.49,Karnataka
198805,111.2,Karnataka
198806,128.537,Karnataka
198807,141.139,Karnataka
198808,148.031,Karnataka
198809,121.057,Karnataka
198810,117.165,Karnataka
198811,116.659,Karnataka
198812,131.695,Karnataka
198813,1491.807,Karnataka
198901,132.233,Karnataka
198902,124.345,Karnataka
198903,122.803,Karnataka
198904,111.194,Karnataka
198905,115.915,Karnataka
198906,126.031,Karnataka
198907,138.083,Karnataka
198908,139.614,Karnataka
198909,124.594,Karnataka
198910,119.943,Karnataka
198911,120.824,Karnataka
198912,143.264,Karnataka
198913,1518.844,Karnataka
199001,132.923,Karnataka
199002,116.26,Karnataka
199003,121.806,Karnataka
199004,115.909,Karnataka
199005,118.556,Karnataka
199006,130.719,Karnataka
199007,143.146,Karnataka
199008,146.257,Karnataka
199009,134.042,Karnataka
199010,128.8,Karnataka
199011,122.119,Karnataka
199012,137.027,Karnataka
199013,1547.564,Karnataka
199101,143.148,Karnataka
199102,117.505,Karnataka
199103,118.823,Karnataka
199104,111.147,Karnataka
199105,122.745,Karnataka
199106,131.945,Karnataka
199107,144.042,Karnataka
199108,144.107,Karnataka
199109,129.099,Karnataka
199110,124.058,Karnataka
199111,127.928,Karnataka
199112,133.633,Karnataka
199113,1548.18,Karnataka
199201,137.39,Karnataka
199202,121.125,Karnataka
199203,126.201,Karnataka
199204,118.33,Karnataka
199205,121.946,Karnataka
199206,129.054,Karnataka
199207,148.563,Karnataka
199208,142.166,Karnataka
199209,132.766,Karnataka
199210,126.405,Karnataka
199211,126.014,Karnataka
199212,139.605,Karnataka
199213,1569.566,Karnataka
199301,139.269,Karnataka
199302,128.056,Karnataka
199303,134.599,Karnataka
199304,119.596,Karnataka
199305,120.469,Karnataka
199306,136.697,Karnataka
199307,157.967,Karnataka
199308,156.392,Karnataka
199309,133.435,Karnataka
199310,130.321,Karnataka
199311,131.799,Karnataka
199312,143.919,Karnataka
199313,1632.52,Karnataka
199401,153.119,Karnataka
199402,131.25,Karnataka
199403,132.54,Karnataka
199404,120.392,Karnataka
199405,126.496,Karnataka
199406,146.639,Karnataka
199407,153.375,Karnataka
199408,151.757,Karnataka
199409,133.235,Karnataka
199410,129.229,Karnataka
199411,124.074,Karnataka
199412,136.675,Karnataka
199413,1638.781,Karnataka
199501,143.097,Karnataka
199502,127.774,Karnataka
199503,127.348,Karnataka
199504,118.414,Karnataka
199505,125.516,Karnataka
199506,138.913,Karnataka
199507,159.638,Karnataka
199508,167.717,Karnataka
199509,137.474,Karnataka
199510,132.871,Karnataka
199511,134.591,Karnataka
199512,147.39,Karnataka
199513,1660.744,Karnataka
199601,153.915,Karnataka
199602,138.446,Karnataka
199603,138.362,Karnataka
199604,124.885,Karnataka
199605,135.014,Karnataka
199606,147.23,Karnataka
199607,160.939,Karnataka
199608,162.998,Karnataka
199609,144.095,Karnataka
199610,143.399,Karnataka
199611,147.318,Karnataka
199612,155.809,Karnataka
199613,1752.41,Karnataka
199701,162.245,Karnataka
199702,135.873,Karnataka
199703,138.495,Karnataka
199704,130.325,Karnataka
199705,136.525,Karnataka
199706,147.624,Karnataka
199707,169.108,Karnataka
199708,164.925,Karnataka
199709,152.353,Karnataka
199710,152.153,Karnataka
199711,146.425,Karnataka
199712,160.993,Karnataka
199713,1797.045,Karnataka
199801,159.602,Karnataka
199802,138.682,Karnataka
199803,144.143,Karnataka
199804,133.418,Karnataka
199805,146.249,Karnataka
199806,158.591,Karnataka
199807,174.995,Karnataka
199808,174.745,Karnataka
199809,156.709,Karnataka
199810,147.334,Karnataka
199811,139.397,Karnataka
199812,154.318,Karnataka
199813,1828.184,Karnataka
199901,161.387,Karnataka
199902,138.081,Karnataka
199903,145.169,Karnataka
199904,137.504,Karnataka
199905,144.891,Karnataka
199906,157.377,Karnataka
199907,179.42,Karnataka
199908,173.707,Karnataka
199909,154.874,Karnataka
199910,147.523,Karnataka
199911,142.095,Karnataka
199912,154.387,Karnataka
199913,1836.415,Karnataka
200001,172.903,Karnataka
200002,155.75,Karnataka
200003,152.347,Karnataka
200004,137.295,Karnataka
200005,151.232,Karnataka
200006,165.771,Karnataka
200007,172.816,Karnataka
200008,179.476,Karnataka
200009,158.627,Karnataka
200010,156.631,Karnataka
200011,155.015,Karnataka
200012,169.514,Karnataka
200013,1927.376,Karnataka
200101,171.379,Karnataka
200102,146.187,Karnataka
200103,151.068,Karnataka
200104,136.46,Karnataka
200105,148.784,Karnataka
200106,159.457,Karnataka
200107,176.898,Karnataka
200108,180.673,Karnataka
200109,153.202,Karnataka
200110,146.64,Karnataka
200111,142.367,Karnataka
200112,156.713,Karnataka
200113,1869.826,Karnataka
200201,159.356,Karnataka
200202,139.482,Karnataka
200203,146.594,Karnataka
200204,138.353,Karnataka
200205,147.956,Karnataka
200206,161.561,Karnataka
200207,179.351,Karnataka
200208,177.391,Karnataka
200209,162.681,Karnataka
200210,156.051,Karnataka
200211,153.318,Karnataka
200212,167.785,Karnataka
200213,1889.879,Karnataka
200301,175.518,Karnataka
200302,152.63,Karnataka
200303,150.919,Karnataka
200304,138.322,Karnataka
200305,147.491,Karnataka
200306,160.056,Karnataka
200307,178.656,Karnataka
200308,181.673,Karnataka
200309,161.942,Karnataka
200310,155.337,Karnataka
200311,156.001,Karnataka
200312,172.427,Karnataka
200313,1930.971,Karnataka
200401,175.35,Karnataka
200402,157.548,Karnataka
200403,149.42,Karnataka
200404,138.155,Karnataka
200405,153.824,Karnataka
200406,164.022,Karnataka
200407,178.541,Karnataka
200408,175.913,Karnataka
200409,163.182,Karnataka
200410,155.596,Karnataka
200411,156.598,Karnataka
200412,174.92,Karnataka
200413,1943.069,Karnataka
200501,175.514,Karnataka
200502,153.555,Karnataka
200503,159.857,Karnataka
200504,140.548,Karnataka
200505,151.645,Karnataka
200506,171.133,Karnataka
200507,184.087,Karnataka
200508,186.022,Karnataka
200509,169.222,Karnataka
200510,160.682,Karnataka
200511,155.899,Karnataka
200512,175.664,Karnataka
200513,1983.829,Karnataka
200601,166.165,Karnataka
200602,154.226,Karnataka
200603,156.997,Karnataka
200604,138.082,Karnataka
200605,153.221,Karnataka
200606,166.169,Karnataka
200607,184.807,Karnataka
200608,186.844,Karnataka
200609,160.475,Karnataka
200610,159.328,Karnataka
200611,156.604,Karnataka
200612,170.779,Karnataka
200613,1953.699,Karnataka
200701,174.337,Karnataka
200702,159.772,Karnataka
200703,155.545,Karnataka
200704,144.038,Karnataka
200705,154.284,Karnataka
200706,170.559,Karnataka
200707,183.582,Karnataka
200708,188.407,Karnataka
200709,167.18,Karnataka
200710,159.36,Karnataka
200711,156.666,Karnataka
200712,173.557,Karnataka
200713,1987.288,Karnataka
200801,177.865,Karnataka
200802,163.114,Karnataka
200803,156.693,Karnataka
200804,144.524,Karnataka
200805,152.626,Karnataka
200806,168.239,Karnataka
200807,184.592,Karnataka
200808,179.993,Karnataka
200809,160.76,Karnataka
200810,150.605,Karnataka
200811,152.302,Karnataka
200812,168.073,Karnataka
200813,1959.387,Karnataka
200901,169.01,Karnataka
200902,138.457,Karnataka
200903,134.157,Karnataka
200904,125.161,Karnataka
200905,131.317,Karnataka
200906,147.22,Karnataka
200907,157.083,Karnataka
200908,161.543,Karnataka
200909,137.175,Karnataka
200910,138.952,Karnataka
200911,136.236,Karnataka
200912,164.564,Karnataka
200913,1740.874,Karnataka
201001,169.541,Karnataka
201002,149.732,Karnataka
201003,142.659,Karnataka
201004,125.288,Karnataka
201005,141.697,Karnataka
201006,163.128,Karnataka
201007,177.165,Karnataka
201008,176.655,Karnataka
201009,148.406,Karnataka
201010,132.129,Karnataka
201011,135.919,Karnataka
201012,165.3,Karnataka
201013,1827.618,Karnataka
201101,166.309,Karnataka
201102,135.738,Karnataka
201103,133.862,Karnataka
201104,123.65,Karnataka
201105,135.488,Karnataka
201106,155.016,Karnataka
201107,173.728,Karnataka
201108,169.987,Karnataka
201109,141.456,Karnataka
201110,128.32,Karnataka
201111,123.628,Karnataka
201112,135.527,Karnataka
201113,1722.711,Karnataka
201201,129.542,Karnataka
201202,115.247,Karnataka
201203,105.084,Karnataka
201204,94.674,Karnataka
201205,114.96,Karnataka
201206,131.167,Karnataka
201207,158.331,Karnataka
201208,151.36,Karnataka
201209,127.184,Karnataka
201210,121.741,Karnataka
201211,127.974,Karnataka
201212,133.974,Karnataka
201213,1511.237,Karnataka
201301,137.055,Karnataka
201302,122.562,Karnataka
201303,128.606,Karnataka
201304,110.959,Karnataka
201305,118.029,Karnataka
201306,137.026,Karnataka
201307,151.952,Karnataka
201308,149.701,Karnataka
201309,132.785,Karnataka
201310,121.075,Karnataka
201311,120.445,Karnataka
201312,141.155,Karnataka
201313,1571.349,Karnataka
201401,153.85,Karnataka
201402,140.102,Karnataka
201403,132.664,Karnataka
201404,106.751,Karnataka
201405,117.672,Karnataka
201406,136.577,Karnataka
201407,149.776,Karnataka
201408,148.995,Karnataka
201409,126.983,Karnataka
201410,112.3,Karnataka
201411,118.837,Karnataka
201412,124.629,Karnataka
201413,1569.137,Karnataka
201501,130.232,Karnataka
201502,122.417,Karnataka
201503,106.412,Karnataka
201504,88.646,Karnataka
201505,104.498,Karnataka
201506,126.28,Karnataka
201507,140.283,Karnataka
201508,135.156,Karnataka
201509,118.653,Karnataka
201510,98.469,Karnataka
201511,90.263,Karnataka
201512,91.658,Karnataka
201513,1352.967,Karnataka
201601,113.495,Karnataka
201602,92.416,Karnataka
201603,72.84,Karnataka
201604,71.41,Karnataka
201605,82.51,Karnataka
201606,115.772,Karnataka
201607,135.958,Karnataka
197301,12.175,Tamil Nadu
197302,11.708,Tamil Nadu
197303,13.994,Tamil Nadu
197304,14.627,Tamil Nadu
197305,17.344,Tamil Nadu
197306,20.265,Tamil Nadu
197307,23.067,Tamil Nadu
197308,22.85,Tamil Nadu
197309,19.297,Tamil Nadu
197310,17.897,Tamil Nadu
197311,13.766,Tamil Nadu
197312,11.866,Tamil Nadu
197313,198.857,Tamil Nadu
197401,11.959,Tamil Nadu
197402,11.021,Tamil Nadu
197403,13.86,Tamil Nadu
197404,14.105,Tamil Nadu
197405,16.676,Tamil Nadu
197406,18.859,Tamil Nadu
197407,21.984,Tamil Nadu
197408,20.748,Tamil Nadu
197409,17.027,Tamil Nadu
197410,16.236,Tamil Nadu
197411,12.999,Tamil Nadu
197412,11.244,Tamil Nadu
197413,186.716,Tamil Nadu
197501,11.165,Tamil Nadu
197502,10.285,Tamil Nadu
197503,11.496,Tamil Nadu
197504,11.663,Tamil Nadu
197505,14.975,Tamil Nadu
197506,16.761,Tamil Nadu
197507,19.711,Tamil Nadu
197508,19.608,Tamil Nadu
197509,17.195,Tamil Nadu
197510,14.988,Tamil Nadu
197511,12.398,Tamil Nadu
197512,11.647,Tamil Nadu
197513,171.891,Tamil Nadu
197601,11.21,Tamil Nadu
197602,10.825,Tamil Nadu
197603,12.091,Tamil Nadu
197604,12.366,Tamil Nadu
197605,14.472,Tamil Nadu
197606,17.009,Tamil Nadu
197607,18.326,Tamil Nadu
197608,17.897,Tamil Nadu
197609,16.015,Tamil Nadu
197610,13.567,Tamil Nadu
197611,11.793,Tamil Nadu
197612,11.651,Tamil Nadu
197613,167.22,Tamil Nadu
197701,11.196,Tamil Nadu
197702,10.942,Tamil Nadu
197703,12.657,Tamil Nadu
197704,12.179,Tamil Nadu
197705,14.184,Tamil Nadu
197706,16.961,Tamil Nadu
197707,18.925,Tamil Nadu
197708,19.148,Tamil Nadu
197709,17.719,Tamil Nadu
197710,15.548,Tamil Nadu
197711,12.776,Tamil Nadu
197712,11.991,Tamil Nadu
197713,174.225,Tamil Nadu
197801,12.573,Tamil Nadu
197802,11.585,Tamil Nadu
197803,12.739,Tamil Nadu
197804,12.244,Tamil Nadu
197805,14.308,Tamil Nadu
197806,17.633,Tamil Nadu
197807,19.87,Tamil Nadu
197808,18.669,Tamil Nadu
197809,16.293,Tamil Nadu
197810,14.422,Tamil Nadu
197811,12.51,Tamil Nadu
197812,12.07,Tamil Nadu
197813,174.915,Tamil Nadu
197901,12.547,Tamil Nadu
197902,12.46,Tamil Nadu
197903,14.297,Tamil Nadu
197904,14.331,Tamil Nadu
197905,15.229,Tamil Nadu
197906,17.583,Tamil Nadu
197907,20.281,Tamil Nadu
197908,20.613,Tamil Nadu
197909,18.578,Tamil Nadu
197910,17.742,Tamil Nadu
197911,14.331,Tamil Nadu
197912,13.687,Tamil Nadu
197913,191.677,Tamil Nadu
198001,15.072,Tamil Nadu
198002,14.368,Tamil Nadu
198003,15.461,Tamil Nadu
198004,13.97,Tamil Nadu
198005,15.341,Tamil Nadu
198006,18.337,Tamil Nadu
198007,22.885,Tamil Nadu
198008,22.067,Tamil Nadu
198009,19.453,Tamil Nadu
198010,16.401,Tamil Nadu
198011,13.912,Tamil Nadu
198012,13.179,Tamil Nadu
198013,200.454,Tamil Nadu
198101,12.598,Tamil Nadu
198102,12.182,Tamil Nadu
198103,14.87,Tamil Nadu
198104,15.71,Tamil Nadu
198105,17.196,Tamil Nadu
198106,20.699,Tamil Nadu
198107,22.324,Tamil Nadu
198108,21.177,Tamil Nadu
198109,17.651,Tamil Nadu
198110,16.399,Tamil Nadu
198111,14.069,Tamil Nadu
198112,13.019,Tamil Nadu
198113,197.925,Tamil Nadu
198201,12.952,Tamil Nadu
198202,11.988,Tamil Nadu
198203,13.431,Tamil Nadu
198204,13.42,Tamil Nadu
198205,14.046,Tamil Nadu
198206,16.098,Tamil Nadu
198207,19.221,Tamil Nadu
198208,19.688,Tamil Nadu
198209,15.975,Tamil Nadu
198210,14.866,Tamil Nadu
198211,12.335,Tamil Nadu
198212,11.694,Tamil Nadu
198213,175.721,Tamil Nadu
198301,11.3,Tamil Nadu
198302,9.604,Tamil Nadu
198303,11.284,Tamil Nadu
198304,11.012,Tamil Nadu
198305,11.833,Tamil Nadu
198306,13.424,Tamil Nadu
198307,17.026,Tamil Nadu
198308,19.05,Tamil Nadu
198309,16.144,Tamil Nadu
198310,13.591,Tamil Nadu
198311,11.578,Tamil Nadu
198312,11.801,Tamil Nadu
198313,157.703,Tamil Nadu
198401,11.738,Tamil Nadu
198402,10.227,Tamil Nadu
198403,11.255,Tamil Nadu
198404,12.015,Tamil Nadu
198405,14.442,Tamil Nadu
198406,16.231,Tamil Nadu
198407,19.025,Tamil Nadu
198408,19.063,Tamil Nadu
198409,15.825,Tamil Nadu
198410,14.694,Tamil Nadu
198411,13.317,Tamil Nadu
198412,11.83,Tamil Nadu
198413,169.706,Tamil Nadu
198501,12.381,Tamil Nadu
198502,11.106,Tamil Nadu
198503,11.36,Tamil Nadu
198504,12.773,Tamil Nadu
198505,12.873,Tamil Nadu
198506,15.369,Tamil Nadu
198507,18.316,Tamil Nadu
198508,19.303,Tamil Nadu
198509,14.994,Tamil Nadu
198510,13.588,Tamil Nadu
198511,12.57,Tamil Nadu
198512,11.505,Tamil Nadu
198513,166.306,Tamil Nadu
198601,10.037,Tamil Nadu
198602,8.565,Tamil Nadu
198603,9.247,Tamil Nadu
198604,10.802,Tamil Nadu
198605,12.581,Tamil Nadu
198606,14.153,Tamil Nadu
198607,16.366,Tamil Nadu
198608,15.016,Tamil Nadu
198609,13.406,Tamil Nadu
198610,11.775,Tamil Nadu
198611,10.149,Tamil Nadu
198612,9.519,Tamil Nadu
198613,141.677,Tamil Nadu
198701,10.061,Tamil Nadu
198702,8.628,Tamil Nadu
198703,10.397,Tamil Nadu
198704,11.237,Tamil Nadu
198705,13.2,Tamil Nadu
198706,15.419,Tamil Nadu
198707,17.342,Tamil Nadu
198708,18.4,Tamil Nadu
198709,14.572,Tamil Nadu
198710,12.95,Tamil Nadu
198711,11.79,Tamil Nadu
198712,10.664,Tamil Nadu
198713,154.709,Tamil Nadu
198801,9.088,Tamil Nadu
198802,9.202,Tamil Nadu
198803,11.065,Tamil Nadu
198804,10.811,Tamil Nadu
198805,13.006,Tamil Nadu
198806,15.197,Tamil Nadu
198807,17.776,Tamil Nadu
198808,18.655,Tamil Nadu
198809,12.613,Tamil Nadu
198810,9.838,Tamil Nadu
198811,8.15,Tamil Nadu
198812,7.448,Tamil Nadu
198813,142.861,Tamil Nadu
198901,8.89,Tamil Nadu
198902,10.42,Tamil Nadu
198903,12.758,Tamil Nadu
198904,14.187,Tamil Nadu
198905,15.128,Tamil Nadu
198906,15.696,Tamil Nadu
198907,19.29,Tamil Nadu
198908,18.679,Tamil Nadu
198909,16.154,Tamil Nadu
198910,15.327,Tamil Nadu
198911,11.41,Tamil Nadu
198912,10.349,Tamil Nadu
198913,168.326,Tamil Nadu
199001,9.182,Tamil Nadu
199002,8.295,Tamil Nadu
199003,11.59,Tamil Nadu
199004,12.53,Tamil Nadu
199005,15.351,Tamil Nadu
199006,18.698,Tamil Nadu
199007,20.507,Tamil Nadu
199008,21.59,Tamil Nadu
199009,18.936,Tamil Nadu
199010,16.165,Tamil Nadu
199011,11.632,Tamil Nadu
199012,11.017,Tamil Nadu
199013,175.54,Tamil Nadu
199101,11.135,Tamil Nadu
199102,9.406,Tamil Nadu
199103,12.394,Tamil Nadu
199104,13.853,Tamil Nadu
199105,16.015,Tamil Nadu
199106,16.708,Tamil Nadu
199107,21.173,Tamil Nadu
199108,21.028,Tamil Nadu
199109,16.879,Tamil Nadu
199110,16.907,Tamil Nadu
199111,12.719,Tamil Nadu
199112,10.925,Tamil Nadu
199113,179.191,Tamil Nadu
199201,11.401,Tamil Nadu
199202,11.481,Tamil Nadu
199203,13.993,Tamil Nadu
199204,15.434,Tamil Nadu
199205,15.916,Tamil Nadu
199206,17.908,Tamil Nadu
199207,22.47,Tamil Nadu
199208,20.368,Tamil Nadu
199209,18.422,Tamil Nadu
199210,14.309,Tamil Nadu
199211,12.745,Tamil Nadu
199212,11.833,Tamil Nadu
199213,186.309,Tamil Nadu
199301,11.506,Tamil Nadu
199302,11.339,Tamil Nadu
199303,13.567,Tamil Nadu
199304,12.165,Tamil Nadu
199305,11.674,Tamil Nadu
199306,17.813,Tamil Nadu
199307,23.371,Tamil Nadu
199308,24.98,Tamil Nadu
199309,18.068,Tamil Nadu
199310,16.399,Tamil Nadu
199311,14.571,Tamil Nadu
199312,12.21,Tamil Nadu
199313,187.688,Tamil Nadu
199401,12.013,Tamil Nadu
199402,10.546,Tamil Nadu
199403,13.143,Tamil Nadu
199404,14.407,Tamil Nadu
199405,15.25,Tamil Nadu
199406,22.498,Tamil Nadu
199407,25.59,Tamil Nadu
199408,26.995,Tamil Nadu
199409,20.897,Tamil Nadu
199410,18.636,Tamil Nadu
199411,16.33,Tamil Nadu
199412,14.683,Tamil Nadu
199413,211.022,Tamil Nadu
199501,14.188,Tamil Nadu
199502,12.021,Tamil Nadu
199503,17.507,Tamil Nadu
199504,16.36,Tamil Nadu
199505,18.398,Tamil Nadu
199506,21.198,Tamil Nadu
199507,29.035,Tamil Nadu
199508,33.423,Tamil Nadu
199509,22.566,Tamil Nadu
199510,17.101,Tamil Nadu
199511,14.126,Tamil Nadu
199512,12.313,Tamil Nadu
199513,228.248,Tamil Nadu
199601,12.634,Tamil Nadu
199602,10.245,Tamil Nadu
199603,11.708,Tamil Nadu
199604,12.714,Tamil Nadu
199605,19.835,Tamil Nadu
199606,22.45,Tamil Nadu
199607,26.808,Tamil Nadu
199608,27.526,Tamil Nadu
199609,21.35,Tamil Nadu
199610,16.968,Tamil Nadu
199611,12.734,Tamil Nadu
199612,9.932,Tamil Nadu
199613,204.929,Tamil Nadu
199701,10.256,Tamil Nadu
199702,10.564,Tamil Nadu
199703,13.984,Tamil Nadu
199704,14.261,Tamil Nadu
199705,17.055,Tamil Nadu
199706,21.941,Tamil Nadu
199707,31.656,Tamil Nadu
199708,28.824,Tamil Nadu
199709,24.544,Tamil Nadu
199710,18.012,Tamil Nadu
199711,13.245,Tamil Nadu
199712,14.528,Tamil Nadu
199713,218.886,Tamil Nadu
199801,13.039,Tamil Nadu
199802,10.192,Tamil Nadu
199803,14.795,Tamil Nadu
199804,14.479,Tamil Nadu
199805,22.102,Tamil Nadu
199806,28.844,Tamil Nadu
199807,34.204,Tamil Nadu
199808,34.788,Tamil Nadu
199809,29.001,Tamil Nadu
199810,18.717,Tamil Nadu
199811,13.503,Tamil Nadu
199812,14.352,Tamil Nadu
199813,248.035,Tamil Nadu
199901,14.844,Tamil Nadu
199902,12.626,Tamil Nadu
199903,17.173,Tamil Nadu
199904,21.273,Tamil Nadu
199905,22.68,Tamil Nadu
199906,26.964,Tamil Nadu
199907,36.347,Tamil Nadu
199908,36.139,Tamil Nadu
199909,23.362,Tamil Nadu
199910,19.917,Tamil Nadu
199911,14.218,Tamil Nadu
199912,14.514,Tamil Nadu
199913,260.092,Tamil Nadu
200001,17.571,Tamil Nadu
200002,15.405,Tamil Nadu
200003,19.158,Tamil Nadu
200004,19.809,Tamil Nadu
200005,28.502,Tamil Nadu
200006,28.36,Tamil Nadu
200007,34.422,Tamil Nadu
200008,37.859,Tamil Nadu
200009,26.159,Tamil Nadu
200010,19.687,Tamil Nadu
200011,16.636,Tamil Nadu
200012,17.25,Tamil Nadu
200013,280.849,Tamil Nadu
200101,18.459,Tamil Nadu
200102,16.972,Tamil Nadu
200103,19.676,Tamil Nadu
200104,20.849,Tamil Nadu
200105,23.515,Tamil Nadu
200106,26.712,Tamil Nadu
200107,34.358,Tamil Nadu
200108,37.225,Tamil Nadu
200109,27.639,Tamil Nadu
200110,25.251,Tamil Nadu
200111,18.988,Tamil Nadu
200112,19.894,Tamil Nadu
200113,289.589,Tamil Nadu
200201,20.588,Tamil Nadu
200202,18.58,Tamil Nadu
200203,21.932,Tamil Nadu
200204,21.825,Tamil Nadu
200205,22.122,Tamil Nadu
200206,29.722,Tamil Nadu
200207,39.565,Tamil Nadu
200208,38.694,Tamil Nadu
200209,30.667,Tamil Nadu
200210,23.843,Tamil Nadu
200211,18.961,Tamil Nadu
200212,19.432,Tamil Nadu
200213,305.968,Tamil Nadu
200301,20.748,Tamil Nadu
200302,18.157,Tamil Nadu
200303,19.593,Tamil Nadu
200304,19.097,Tamil Nadu
200305,21.338,Tamil Nadu
200306,23.597,Tamil Nadu
200307,34.14,Tamil Nadu
200308,37.02,Tamil Nadu
200309,25.382,Tamil Nadu
200310,22.15,Tamil Nadu
200311,18.858,Tamil Nadu
200312,18.205,Tamil Nadu
200313,278.348,Tamil Nadu
200401,19.642,Tamil Nadu
200402,20.297,Tamil Nadu
200403,20.383,Tamil Nadu
200404,21.145,Tamil Nadu
200405,26.324,Tamil Nadu
200406,27.659,Tamil Nadu
200407,34.073,Tamil Nadu
200408,33.264,Tamil Nadu
